player_id,year,season_number,team_id,name,age,years,position,role,development_player,foreign_player,registered_roster,salary,jersey_number,season_injury_days,fa_eligible_years,z_abilities_snapshot.Bat_Aggression,z_abilities_snapshot.Bat_BBCreate,z_abilities_snapshot.Bat_Barrel,z_abilities_snapshot.Bat_Impact,z_abilities_snapshot.Bat_KAvoid,z_abilities_snapshot.Bat_Loft,z_abilities_snapshot.Bat_Platoon,z_abilities_snapshot.Bat_Spray,z_abilities_snapshot.C_Blocking,z_abilities_snapshot.C_FieldSecure,z_abilities_snapshot.C_Framing,z_abilities_snapshot.C_GameCall,z_abilities_snapshot.C_Throw,z_abilities_snapshot.IF_Exchange,z_abilities_snapshot.IF_PositionFit,z_abilities_snapshot.IF_Reach,z_abilities_snapshot.IF_Secure,z_abilities_snapshot.IF_ThrowAccuracy,z_abilities_snapshot.IF_ThrowPower,z_abilities_snapshot.OF_ArmAccuracy,z_abilities_snapshot.OF_ArmPower,z_abilities_snapshot.OF_PositionFit,z_abilities_snapshot.OF_Reach,z_abilities_snapshot.OF_Release,z_abilities_snapshot.OF_Route,z_abilities_snapshot.OF_Secure,z_abilities_snapshot.PF_Reach,z_abilities_snapshot.PF_Secure,z_abilities_snapshot.PF_Throw,z_abilities_snapshot.Pit_BBPrevent,z_abilities_snapshot.Pit_BarrelDeny,z_abilities_snapshot.Pit_EdgeRate,z_abilities_snapshot.Pit_Efficiency,z_abilities_snapshot.Pit_FatigueResist,z_abilities_snapshot.Pit_HoldRunner,z_abilities_snapshot.Pit_ImpactLimit,z_abilities_snapshot.Pit_KCreate,z_abilities_snapshot.Pit_LoftControl,z_abilities_snapshot.Pit_Stamina,z_abilities_snapshot.Run_Judgment,z_abilities_snapshot.Run_Speed,z_abilities_snapshot.Run_Steal,raw_abilities_snapshot.max_velocity,position_aptitudes_snapshot.catcher,position_aptitudes_snapshot.center,position_aptitudes_snapshot.first,position_aptitudes_snapshot.left,position_aptitudes_snapshot.right,position_aptitudes_snapshot.second,position_aptitudes_snapshot.shortstop,position_aptitudes_snapshot.third,position_experience_snapshot.catcher,position_experience_snapshot.center,position_experience_snapshot.first,position_experience_snapshot.left,position_experience_snapshot.right,position_experience_snapshot.second,position_experience_snapshot.shortstop,position_experience_snapshot.third,batter_stats.at_bats,batter_stats.double_plays,batter_stats.doubles,batter_stats.errors,batter_stats.games,batter_stats.hit_by_pitches,batter_stats.hits,batter_stats.home_runs,batter_stats.pitches_seen,batter_stats.plate_appearances,batter_stats.runs,batter_stats.runs_batted_in,batter_stats.sacrifice_flies,batter_stats.sacrifices,batter_stats.stolen_base_attempts,batter_stats.stolen_bases,batter_stats.strikeouts,batter_stats.triples,batter_stats.walks,pitcher_stats.batters_faced,pitcher_stats.complete_games,pitcher_stats.earned_runs,pitcher_stats.games,pitcher_stats.ground_balls_allowed,pitcher_stats.hit_batters,pitcher_stats.hits_allowed,pitcher_stats.holds,pitcher_stats.home_runs_allowed,pitcher_stats.infield_flies_allowed,pitcher_stats.line_drives_allowed,pitcher_stats.losses,pitcher_stats.outfield_flies_allowed,pitcher_stats.outs_pitched,pitcher_stats.pitches_thrown,pitcher_stats.quality_starts,pitcher_stats.relief_appearances,pitcher_stats.runs_allowed,pitcher_stats.saves,pitcher_stats.shutouts,pitcher_stats.starts,pitcher_stats.strikeouts,pitcher_stats.walks,pitcher_stats.wins,farm_batter_stats.at_bats,farm_batter_stats.double_plays,farm_batter_stats.doubles,farm_batter_stats.errors,farm_batter_stats.games,farm_batter_stats.hit_by_pitches,farm_batter_stats.hits,farm_batter_stats.home_runs,farm_batter_stats.pitches_seen,farm_batter_stats.plate_appearances,farm_batter_stats.runs,farm_batter_stats.runs_batted_in,farm_batter_stats.sacrifice_flies,farm_batter_stats.sacrifices,farm_batter_stats.stolen_base_attempts,farm_batter_stats.stolen_bases,farm_batter_stats.strikeouts,farm_batter_stats.triples,farm_batter_stats.walks,farm_pitcher_stats.batters_faced,farm_pitcher_stats.complete_games,farm_pitcher_stats.earned_runs,farm_pitcher_stats.games,farm_pitcher_stats.ground_balls_allowed,farm_pitcher_stats.hit_batters,farm_pitcher_stats.hits_allowed,farm_pitcher_stats.holds,farm_pitcher_stats.home_runs_allowed,farm_pitcher_stats.infield_flies_allowed,farm_pitcher_stats.line_drives_allowed,farm_pitcher_stats.losses,farm_pitcher_stats.outfield_flies_allowed,farm_pitcher_stats.outs_pitched,farm_pitcher_stats.pitches_thrown,farm_pitcher_stats.quality_starts,farm_pitcher_stats.relief_appearances,farm_pitcher_stats.runs_allowed,farm_pitcher_stats.saves,farm_pitcher_stats.shutouts,farm_pitcher_stats.starts,farm_pitcher_stats.strikeouts,farm_pitcher_stats.walks,farm_pitcher_stats.wins,arsenal_snapshot_json,advanced_stats_json,farm_advanced_stats_json
97083,2005,-20,12,若松 将丈,19,1,9,fielder,false,false,支配下,700,0,3,8,0.6044,0.5713,0.3731,1.0212,0.383,0.6212,0.2471,-0.1162,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.0501,0.2488,-0.048,0.8529,-1.1409,0.972,1.0321,,,,,,,,,,,,,,-0.4154,-0.0208,0.1784,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,6,13,1,101,5,87,5,1282,365,32,38,,14,,,72,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":4.52,""defensive_outs_by_oaa_zone"":{""outfield"":2390},""defensive_outs_by_position"":{""7"":711,""8"":1331,""9"":348},""dpr_by_position"":{""7"":0.0,""8"":0.0,""9"":0.0},""drs_by_position"":{""7"":0.484,""8"":-4.972,""9"":-1.509},""errr_by_position"":{""7"":0.0,""8"":-0.29,""9"":0.0},""fielding_chances"":482,""fielding_chances_by_oaa_zone"":{""outfield"":482},""fielding_chances_by_position"":{""7"":90,""8"":358,""9"":34},""fielding_outs"":266,""fielding_outs_by_oaa_zone"":{""outfield"":266},""fielding_outs_by_position"":{""7"":48,""8"":202,""9"":16},""oaa_by_position"":{""7"":0.586,""8"":-5.986,""9"":-1.82},""oaa_by_zone"":{""outfield"":-7.22},""plate_appearances"":365,""re24"":0.825,""rngr_by_position"":{""7"":0.484,""8"":-4.682,""9"":-1.509},""uzr_by_position"":{""7"":0.484,""8"":-4.972,""9"":-1.509},""woba_denominator"":351,""woba_numerator"":109.332,""xwoba_denominator"":351,""xwoba_numerator"":110.782}"
97083,2006,-19,12,若松 将丈,20,2,9,fielder,true,false,育成,350,0,0,8,0.6044,0.5713,0.3731,1.0022,0.451,0.6212,0.2471,-0.1162,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.0501,0.2488,-0.0124,0.9143,-1.1409,0.972,1.0321,,,,,,,,,,,,,,-0.4154,-0.0854,0.1784,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,5,9,2,111,4,68,4,1353,392,15,36,3,8,,,93,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":2.78,""defensive_outs_by_oaa_zone"":{""outfield"":2698},""defensive_outs_by_position"":{""7"":1449,""8"":291,""9"":958},""dpr_by_position"":{""7"":0.0,""8"":0.0,""9"":0.0},""drs_by_position"":{""7"":-1.581,""8"":-0.074,""9"":-0.706},""errr_by_position"":{""7"":-0.58,""8"":0.0,""9"":0.0},""fielding_chances"":388,""fielding_chances_by_oaa_zone"":{""outfield"":388},""fielding_chances_by_position"":{""7"":181,""8"":102,""9"":105},""fielding_outs"":192,""fielding_outs_by_oaa_zone"":{""outfield"":192},""fielding_outs_by_position"":{""7"":87,""8"":55,""9"":50},""oaa_by_position"":{""7"":-1.905,""8"":-0.1,""9"":-0.853},""oaa_by_zone"":{""outfield"":-2.858},""plate_appearances"":392,""re24"":-20.588,""rngr_by_position"":{""7"":-1.001,""8"":-0.074,""9"":-0.706},""uzr_by_position"":{""7"":-1.581,""8"":-0.074,""9"":-0.706},""woba_denominator"":384,""woba_numerator"":88.567,""xwoba_denominator"":384,""xwoba_numerator"":110.321}"
97083,2007,-18,12,若松 将丈,21,3,9,fielder,false,false,支配下,440,0,0,8,0.5869,0.5544,0.4629,1.177,0.5684,0.8697,0.4335,0.1812,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.0796,0.2541,0.1388,1.0328,-1.1225,1.0782,1.1693,,,,,,,,,,,,,,-0.3078,-0.0731,0.3828,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,7,15,3,124,3,94,2,1509,428,26,29,3,10,,,89,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":4.56,""defensive_outs_by_oaa_zone"":{""outfield"":3013},""defensive_outs_by_position"":{""7"":1053,""9"":1960},""dpr_by_position"":{""7"":0.0,""9"":0.0},""drs_by_position"":{""7"":0.091,""9"":2.739},""errr_by_position"":{""7"":-0.584,""9"":-0.29},""fielding_chances"":358,""fielding_chances_by_oaa_zone"":{""outfield"":358},""fielding_chances_by_position"":{""7"":144,""9"":214},""fielding_outs"":197,""fielding_outs_by_oaa_zone"":{""outfield"":197},""fielding_outs_by_position"":{""7"":76,""9"":121},""oaa_by_position"":{""7"":0.114,""9"":3.297},""oaa_by_zone"":{""outfield"":3.411},""plate_appearances"":428,""re24"":-23.996,""rngr_by_position"":{""7"":0.675,""9"":3.029},""uzr_by_position"":{""7"":0.091,""9"":2.739},""woba_denominator"":418,""woba_numerator"":103.727,""xwoba_denominator"":418,""xwoba_numerator"":121.656}"
97083,2008,-17,12,若松 将丈,22,4,9,fielder,false,false,支配下,440,0,0,8,0.7097,0.6983,0.712,1.4044,0.7688,1.0978,0.4274,0.4507,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.2193,0.483,0.2869,1.1801,-0.7469,1.1951,1.1481,,,,,,,,,,,,,,-0.0987,0.0326,0.2553,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,5,,,,2,,2,1,38,7,1,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,391,5,18,,114,2,93,5,1731,458,47,40,3,7,,,97,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":0.18,""defensive_outs_by_oaa_zone"":{""outfield"":51},""defensive_outs_by_position"":{""7"":24,""9"":27},""dpr_by_position"":{""7"":0.0,""9"":0.0},""drs_by_position"":{""7"":0.01,""9"":-0.265},""errr_by_position"":{""7"":0.0,""9"":0.0},""fielding_chances"":7,""fielding_chances_by_oaa_zone"":{""outfield"":7},""fielding_chances_by_position"":{""7"":2,""9"":5},""fielding_outs"":4,""fielding_outs_by_oaa_zone"":{""outfield"":4},""fielding_outs_by_position"":{""7"":2,""9"":2},""oaa_by_position"":{""7"":0.012,""9"":-0.32},""oaa_by_zone"":{""outfield"":-0.308},""plate_appearances"":7,""re24"":1.093,""rngr_by_position"":{""7"":0.01,""9"":-0.265},""uzr_by_position"":{""7"":0.01,""9"":-0.265},""woba_denominator"":7,""woba_numerator"":4.291,""xwoba_denominator"":7,""xwoba_numerator"":3.999}","{""bsr"":7.02,""defensive_outs_by_oaa_zone"":{""outfield"":2802},""defensive_outs_by_position"":{""7"":1308,""8"":1494},""dpr_by_position"":{""7"":0.0,""8"":0.0},""drs_by_position"":{""7"":1.57,""8"":-1.219},""errr_by_position"":{""7"":0.0,""8"":0.0},""fielding_chances"":582,""fielding_chances_by_oaa_zone"":{""outfield"":582},""fielding_chances_by_position"":{""7"":145,""8"":437},""fielding_outs"":370,""fielding_outs_by_oaa_zone"":{""outfield"":370},""fielding_outs_by_position"":{""7"":90,""8"":280},""oaa_by_position"":{""7"":1.895,""8"":-1.461},""oaa_by_zone"":{""outfield"":0.434},""plate_appearances"":458,""re24"":-0.61,""rngr_by_position"":{""7"":1.57,""8"":-1.219},""uzr_by_position"":{""7"":1.57,""8"":-1.219},""woba_denominator"":451,""woba_numerator"":134.987,""xwoba_denominator"":451,""xwoba_numerator"":149.936}"
97083,2009,-16,12,若松 将丈,23,5,9,fielder,false,false,支配下,1800,0,11,8,0.7628,0.7766,0.8619,1.6216,0.9132,1.2952,0.4955,0.3597,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.3129,0.3828,0.4628,1.2444,-0.4947,1.5393,1.3544,,,,,,,,,,,,,,0.104,0.1056,0.2553,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,33,,3,,10,,9,,121,35,2,5,,,,,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,338,7,20,2,93,5,83,9,1333,368,31,40,,,,,64,,25,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":0.85,""defensive_outs_by_oaa_zone"":{""outfield"":237},""defensive_outs_by_position"":{""8"":72,""9"":165},""dpr_by_position"":{""8"":0.0,""9"":0.0},""drs_by_position"":{""8"":-0.054,""9"":-0.183},""errr_by_position"":{""8"":0.0,""9"":0.0},""fielding_chances"":32,""fielding_chances_by_oaa_zone"":{""outfield"":32},""fielding_chances_by_position"":{""8"":17,""9"":15},""fielding_outs"":16,""fielding_outs_by_oaa_zone"":{""outfield"":16},""fielding_outs_by_position"":{""8"":11,""9"":5},""oaa_by_position"":{""8"":-0.065,""9"":-0.219},""oaa_by_zone"":{""outfield"":-0.284},""plate_appearances"":35,""re24"":0.927,""rngr_by_position"":{""8"":-0.054,""9"":-0.183},""uzr_by_position"":{""8"":-0.054,""9"":-0.183},""woba_denominator"":35,""woba_numerator"":11.099,""xwoba_denominator"":35,""xwoba_numerator"":11.252}","{""bsr"":3.53,""defensive_outs_by_oaa_zone"":{""outfield"":2076},""defensive_outs_by_position"":{""7"":80,""8"":1996},""dpr_by_position"":{""7"":0.0,""8"":0.0},""drs_by_position"":{""7"":-0.277,""8"":-3.698},""errr_by_position"":{""7"":0.0,""8"":-0.58},""fielding_chances"":555,""fielding_chances_by_oaa_zone"":{""outfield"":555},""fielding_chances_by_position"":{""7"":15,""8"":540},""fielding_outs"":337,""fielding_outs_by_oaa_zone"":{""outfield"":337},""fielding_outs_by_position"":{""7"":9,""8"":328},""oaa_by_position"":{""7"":-0.334,""8"":-4.455},""oaa_by_zone"":{""outfield"":-4.789},""plate_appearances"":368,""re24"":1.598,""rngr_by_position"":{""7"":-0.277,""8"":-3.118},""uzr_by_position"":{""7"":-0.277,""8"":-3.698},""woba_denominator"":368,""woba_numerator"":111.589,""xwoba_denominator"":368,""xwoba_numerator"":131.363}"
97083,2010,-15,12,若松 将丈,24,6,9,fielder,false,false,支配下,2300,0,25,8,0.7628,0.8015,0.8123,1.5536,0.9132,1.2952,0.4955,0.3597,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.3129,0.3828,0.4628,1.2444,-0.4947,1.5393,1.3261,,,,,,,,,,,,,,0.1688,0.1056,0.2553,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,42,,1,,15,,9,1,154,46,3,3,,2,,,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,261,6,13,1,79,6,61,7,1187,307,27,29,2,6,2,,48,,32,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":0.28,""defensive_outs_by_oaa_zone"":{""outfield"":324},""defensive_outs_by_position"":{""7"":234,""9"":90},""dpr_by_position"":{""7"":0.0,""9"":0.0},""drs_by_position"":{""7"":-0.579,""9"":1.053},""errr_by_position"":{""7"":0.0,""9"":0.0},""fielding_chances"":40,""fielding_chances_by_oaa_zone"":{""outfield"":40},""fielding_chances_by_position"":{""7"":26,""9"":14},""fielding_outs"":20,""fielding_outs_by_oaa_zone"":{""outfield"":20},""fielding_outs_by_position"":{""7"":11,""9"":9},""oaa_by_position"":{""7"":-0.695,""9"":1.268},""oaa_by_zone"":{""outfield"":0.573},""plate_appearances"":46,""re24"":-2.448,""rngr_by_position"":{""7"":-0.579,""9"":1.053},""uzr_by_position"":{""7"":-0.579,""9"":1.053},""woba_denominator"":44,""woba_numerator"":10.818,""xwoba_denominator"":44,""xwoba_numerator"":12.082}","{""bsr"":3.11,""defensive_outs_by_oaa_zone"":{""outfield"":1868},""defensive_outs_by_position"":{""8"":1868},""dpr_by_position"":{""8"":0.0},""drs_by_position"":{""8"":-3.818},""errr_by_position"":{""8"":-0.29},""fielding_chances"":563,""fielding_chances_by_oaa_zone"":{""outfield"":563},""fielding_chances_by_position"":{""8"":563},""fielding_outs"":337,""fielding_outs_by_oaa_zone"":{""outfield"":337},""fielding_outs_by_position"":{""8"":337},""oaa_by_position"":{""8"":-4.604},""oaa_by_zone"":{""outfield"":-4.604},""plate_appearances"":307,""re24"":-0.52,""rngr_by_position"":{""8"":-3.528},""uzr_by_position"":{""8"":-3.818},""woba_denominator"":301,""woba_numerator"":92.908,""xwoba_denominator"":301,""xwoba_numerator"":113.856}"
97083,2011,-14,12,若松 将丈,25,7,9,fielder,false,false,支配下,2300,0,13,8,0.8398,0.9017,1.0845,1.6859,1.0083,1.4236,0.4392,0.5204,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.4746,0.5947,0.514,1.3484,-0.3457,1.7847,1.3084,,,,,,,,,,,,,,0.5628,0.1573,0.5844,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,117,1,5,1,42,1,23,2,449,137,15,5,1,2,1,,25,,16,,,,,,,,,,,,,,,,,,,,,,,,,55,,4,,16,,13,3,222,58,6,11,,,,,9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":1.95,""defensive_outs_by_oaa_zone"":{""outfield"":879},""defensive_outs_by_position"":{""7"":90,""9"":789},""dpr_by_position"":{""7"":0.0,""9"":0.0},""drs_by_position"":{""7"":0.331,""9"":0.186},""errr_by_position"":{""7"":0.0,""9"":-0.299},""fielding_chances"":92,""fielding_chances_by_oaa_zone"":{""outfield"":92},""fielding_chances_by_position"":{""7"":9,""9"":83},""fielding_outs"":48,""fielding_outs_by_oaa_zone"":{""outfield"":48},""fielding_outs_by_position"":{""7"":5,""9"":43},""oaa_by_position"":{""7"":0.398,""9"":0.228},""oaa_by_zone"":{""outfield"":0.626},""plate_appearances"":137,""re24"":-9.098,""rngr_by_position"":{""7"":0.331,""9"":0.485},""uzr_by_position"":{""7"":0.331,""9"":0.186},""woba_denominator"":135,""woba_numerator"":36.137,""xwoba_denominator"":135,""xwoba_numerator"":44.087}","{""bsr"":0.9,""defensive_outs_by_oaa_zone"":{""outfield"":329},""defensive_outs_by_position"":{""9"":329},""dpr_by_position"":{""9"":0.0},""drs_by_position"":{""9"":-0.131},""errr_by_position"":{""9"":0.0},""fielding_chances"":38,""fielding_chances_by_oaa_zone"":{""outfield"":38},""fielding_chances_by_position"":{""9"":38},""fielding_outs"":20,""fielding_outs_by_oaa_zone"":{""outfield"":20},""fielding_outs_by_position"":{""9"":20},""oaa_by_position"":{""9"":-0.158},""oaa_by_zone"":{""outfield"":-0.158},""plate_appearances"":58,""re24"":5.359,""rngr_by_position"":{""9"":-0.131},""uzr_by_position"":{""9"":-0.131},""woba_denominator"":58,""woba_numerator"":19.129,""xwoba_denominator"":58,""xwoba_numerator"":20.947}"
97083,2012,-13,12,若松 将丈,26,8,9,fielder,false,false,支配下,2900,0,0,8,1.049,0.995,1.2434,1.9064,1.1131,1.4334,0.5011,0.6376,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,0.4518,0.8454,0.419,1.5385,-0.1721,1.8435,1.464,,,,,,,,,,,,,,0.7038,0.2381,0.8229,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,397,6,14,2,129,2,86,10,1567,460,36,37,,23,,,85,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":5.44,""defensive_outs_by_oaa_zone"":{""outfield"":3144},""defensive_outs_by_position"":{""9"":3144},""dpr_by_position"":{""9"":0.0},""drs_by_position"":{""9"":2.514},""errr_by_position"":{""9"":-0.315},""fielding_chances"":347,""fielding_chances_by_oaa_zone"":{""outfield"":347},""fielding_chances_by_position"":{""9"":347},""fielding_outs"":174,""fielding_outs_by_oaa_zone"":{""outfield"":174},""fielding_outs_by_position"":{""9"":174},""oaa_by_position"":{""9"":3.061},""oaa_by_zone"":{""outfield"":3.061},""plate_appearances"":460,""re24"":-20.717,""rngr_by_position"":{""9"":2.829},""uzr_by_position"":{""9"":2.514},""woba_denominator"":437,""woba_numerator"":119.988,""xwoba_denominator"":437,""xwoba_numerator"":139.756}",
97083,2013,-12,12,若松 将丈,27,9,9,fielder,false,false,支配下,5400,0,0,8,1.9193,2.331,2.1981,2.8471,2.0377,2.5079,1.3393,1.8894,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,1.639,1.7382,1.2352,1.2743,0.8815,1.3407,1.1803,,,,,,,,,,,,,,1.7483,1.0484,1.8407,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,498,5,23,4,143,5,137,19,2203,573,73,71,7,1,6,4,95,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":9.66,""defensive_outs_by_oaa_zone"":{""outfield"":3182},""defensive_outs_by_position"":{""7"":2216,""8"":27,""9"":939},""dpr_by_position"":{""7"":0.0,""8"":0.0,""9"":0.0},""drs_by_position"":{""7"":1.541,""8"":0.266,""9"":-1.735},""errr_by_position"":{""7"":-0.842,""8"":0.0,""9"":-0.29},""fielding_chances"":383,""fielding_chances_by_oaa_zone"":{""outfield"":383},""fielding_chances_by_position"":{""7"":265,""8"":5,""9"":113},""fielding_outs"":203,""fielding_outs_by_oaa_zone"":{""outfield"":203},""fielding_outs_by_position"":{""7"":150,""8"":4,""9"":49},""oaa_by_position"":{""7"":1.856,""8"":0.321,""9"":-2.091},""oaa_by_zone"":{""outfield"":0.086},""plate_appearances"":573,""re24"":20.449,""rngr_by_position"":{""7"":2.383,""8"":0.266,""9"":-1.445},""uzr_by_position"":{""7"":1.541,""8"":0.266,""9"":-1.735},""woba_denominator"":572,""woba_numerator"":197.25,""xwoba_denominator"":572,""xwoba_numerator"":225.214}",
97083,2014,-11,12,若松 将丈,28,10,9,fielder,false,false,支配下,13000,0,0,8,2.07,2.2555,2.2752,2.938,2.2329,2.6659,1.4022,1.9568,0.0298,-0.1056,-0.2423,-1.0759,-1.1691,1.1181,0.7094,-0.5571,-0.6184,0.0788,-0.7483,1.7545,1.8104,1.3062,1.1069,0.9131,1.2051,1.049,,,,,,,,,,,,,,1.7216,1.4111,1.8983,,0,57,0,78,85,0,0,0,0,57,0,78,85,0,0,0,483,6,29,1,143,4,146,20,2157,574,77,78,3,,7,5,67,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""bsr"":9.6,""defensive_outs_by_oaa_zone"":{""outfield"":3166},""defensive_outs_by_position"":{""7"":2872,""9"":294},""dpr_by_position"":{""7"":0.0,""9"":0.0},""drs_by_position"":{""7"":0.147,""9"":-0.264},""errr_by_position"":{""7"":-0.299,""9"":0.0},""fielding_chances"":410,""fielding_chances_by_oaa_zone"":{""outfield"":410},""fielding_chances_by_position"":{""7"":386,""9"":24},""fielding_outs"":216,""fielding_outs_by_oaa_zone"":{""outfield"":216},""fielding_outs_by_position"":{""7"":206,""9"":10},""oaa_by_position"":{""7"":0.181,""9"":-0.315},""oaa_by_zone"":{""outfield"":-0.134},""plate_appearances"":574,""re24"":43.339,""rngr_by_position"":{""7"":0.446,""9"":-0.264},""uzr_by_position"":{""7"":0.147,""9"":-0.264},""woba_denominator"":574,""woba_numerator"":224.379,""xwoba_denominator"":574,""xwoba_numerator"":243.281}",
